Id,Name,content,melee_damage,damage,speedOfShooting (s),range,TimeOfTranning,HP,can_kill_infantry,can_skill_airforce,price to build,price (price of upgrade),sell (coin to get),level_unlock,speed_move,price_to_unlock,number_of_bullet,,,,,comment
tower_magic_level_1,MAGE'S TOWER,Level 1 - Attack both infantry and air force - With fireballs,,20,3,3,,,yes,yes,60,72,30,0,,0,1,,,,,melee: can chien
tower_magic_level_2,MAGE'S TOWER,Level 2 - Attack both infantry and air force - With fireballs,,25,2,3.5,,,yes,yes,132,108,66,0,,0,1,,,,,arrow_damage: sat thuong tu xa
tower_magic_level_3,MAGE'S TOWER,Level 3 - Attack both infantry and air force - With fireballs,,30,1.5,4,,,yes,yes,240,153,120,0,,0,1,,,,,infantry: bo binh
tower_magic_level_4,MAGE'S TOWER,Level 4 - Attack both infantry and air force - With fireballs,,35,1.2,4.5,,,yes,yes,393,0,197,0,,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
tower_archer_level_1,ARCHER TOWER,Level 1 - Attack both infantry and air force - With 1 arrow.,,20,1.5,3,,,yes,yes,100,60,50,0,,0,1,,,,,
tower_archer_level_2,ARCHER TOWER,Level 2 - Attack both infantry and air force - With 1 arrow.,,25,1.2,3.5,,,yes,yes,160,189,80,0,,0,1,,,,,
tower_archer_level_3,ARCHER TOWER,Level 3 - Attack both infantry and air force - With 3 arrows.,,10,0.75,4,,,yes,yes,349,310,175,0,,0,3,,,,,
tower_archer_level_4,ARCHER TOWER,Level 4 - Attack both infantry and air force - With 3 arrows.,,12,0.5,4.5,,,yes,yes,659,0,330,0,,0,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
tower_cannonner_level_1,CANNONER,Level 1 - Throw at all enemies many stone balls.,,20,3,3,,,yes,yes,60,72,30,0,,0,1,,,,,
tower_cannonner_level_2,CANNONER,Level 2 - Throw at all enemies many stone balls.,,25,2,3.5,,,yes,yes,132,108,66,0,,0,1,,,,,
